Link,Count
wiki/Sargable,260
"wiki/Create,_read,_update_and_delete",259
wiki/Foreign_key,259
wiki/Longest_common_subsequence_problem,258
wiki/Circular_buffer,257
wiki/Entity%E2%80%93attribute%E2%80%93value_model,253
wiki/Principle_of_least_astonishment,251
wiki/Windows_Forms,251
wiki/%3F,250
wiki/Double-checked_locking,248
wiki/Proxy_pattern,248
wiki/tz_database,248
wiki/Double_dispatch,247
wiki/Schwartzian_transform,247
wiki/IEEE_754-2008,246
wiki/Reverse_Polish_notation,246
wiki/Salt_%28cryptography%29,245
wiki/Chain-of-responsibility_pattern,242
wiki/Domain-driven_design,242
wiki/Variable_shadowing,241
wiki/Euclidean_distance,240
wiki/Binary_heap,239
wiki/Daylight_saving_time,238
wiki/Encapsulation_%28object-oriented_programming%29,238
wiki/Pigeonhole_principle,238
wiki/Segmentation_fault,238
wiki/Unit_testing,238
wiki/Content_Delivery_Network,237
wiki/Security_through_obscurity,237
wiki/UTC_offset,237
wiki/C++11,236
wiki/Hough_transform,236
wiki/IEEE_754,236
wiki/Row-major_order,236
wiki/R-tree,236
wiki/Design_Patterns,233
wiki/OSI_model,233
wiki/Ternary_operation,233
wiki/Directed_acyclic_graph,232
wiki/MapReduce,232
wiki/Rounding,232
wiki/Regular_language,230
wiki/Interface_segregation_principle,229
wiki/K-means_clustering,229
wiki/Permutation,229
wiki/String_interning,229
wiki/Block_cipher_modes_of_operation,228
wiki/Boyer%E2%80%93Moore_string_search_algorithm,228
wiki/NaN,228
wiki/Single-page_application,228
wiki/Network_address_translation,227
wiki/Object_composition,227
wiki/SOAP,227
wiki/Public-key_cryptography,226
wiki/SHA-1,226
wiki/Virtual_method_table,226
wiki/Common_Intermediate_Language,225
wiki/Model-view-controller,224
wiki/Calling_convention,223
wiki/Point_in_polygon,223
wiki/Hexadecimal,222
wiki/Polymorphism_in_object-oriented_programming,222
wiki/Salt_(cryptography),221
wiki/B%C3%A9zier_curve,220
wiki/Lexical_analysis,220
wiki/Tf%E2%80%93idf,220
wiki/User_agent,220
wiki/Bresenham%27s_line_algorithm,219
wiki/Syntactic_sugar,219
wiki/Delegation_pattern,218
wiki/Garbage_collection_%28computer_science%29,218
wiki/Opaque_pointer,218
wiki/Skip_list,218
wiki/Server_Name_Indication,217
wiki/Arbitrary-precision_arithmetic,215
wiki/Evaluation_strategy,215
wiki/Floyd%E2%80%93Warshall_algorithm,214
wiki/Master_theorem,214
wiki/Virtual_address_space,214
wiki/Mojibake,213
wiki/Portable_Network_Graphics,213
wiki/OAuth,212
wiki/Pseudorandom_number_generator,211
wiki/Object_slicing,210
wiki/Sparse_matrix,209
wiki/CPU_cache,208
wiki/Integer_overflow,208
wiki/Smart_pointer,208
wiki/Bin_packing_problem,207
wiki/Environment_variable,207
wiki/Junction_table,207
wiki/Method_chaining,207
wiki/Meta_refresh,206
wiki/Huffman_coding,205
wiki/Scientific_notation,205
wiki/Identity_transform,204
wiki/Internet_media_type,204
wiki/ISO_week_date,204
wiki/CamelCase,203
wiki/CDATA,203
wiki/Variadic_function,202
wiki/Parsing,201
wiki/Cosine_similarity,200
wiki/Cyclomatic_complexity,200
wiki/Soundex,200
wiki/HMAC,199
wiki/Combination,198
wiki/IEEE_754-1985,198
wiki/Lambda_calculus,198
wiki/Selection_sort,198
wiki/Relational_algebra,197
wiki/Revision_control,197
wiki/Binary_tree,196
wiki/Great-circle_distance,194
wiki/HTTP_ETag,194
wiki/Normal_distribution,194
wiki/Red%E2%80%93black_tree,194
wiki/Copy-on-write,193
wiki/Magic_number_(programming),193
wiki/Multiple_inheritance,193
wiki/Program_optimization,193
wiki/Continuation-passing_style,192
wiki/Idempotence,192
wiki/Mediator_pattern,192
wiki/Python_%28programming_language%29,192
wiki/Active_record_pattern,191
wiki/Domain-specific_language,191
wiki/Java_virtual_machine,191
wiki/Portable_Executable,191
wiki/Eclipse_%28software%29,190
wiki/Non-breaking_space,189
wiki/Recursion,189
wiki/Symbolic_link,189
wiki/Hungarian_notation,188
wiki/SQL,188
wiki/Standard_streams,188
wiki/Code_page_437,187
wiki/Heap_%28data_structure%29,187
wiki/Pure_function,187
wiki/Timsort,187
wiki,186
wiki/Associative_array,186
wiki/Inotify,186
wiki/MATLAB,186
wiki/User_Datagram_Protocol,186
wiki/Backtracking,185
wiki/Closure_%28computer_science%29,185
wiki/Generics_in_Java,185
wiki/Producer-consumer_problem,185
wiki/Data_Access_Object,184
wiki/Dot_product,183
wiki/Euclidean_algorithm,183
wiki/Hash-based_message_authentication_code,183
wiki/Magic_number_%28programming%29,183
wiki/Partition_problem,183
wiki/Radix_tree,182
wiki/Application_programming_interface,181
wiki/Octal,181
wiki/Recursion_(computer_science),181
wiki/Rule_of_three_%28C%2B%2B_programming%29,180
wiki/Common_Gateway_Interface,179
wiki/Europe/Paris,179
wiki/Forward_declaration,179
wiki/HTML,179
wiki/Deadlock,178
wiki/Ncurses,178
wiki/Network_Time_Protocol,178
wiki/Aho%E2%80%93Corasick_string_matching_algorithm,177
wiki/Principal_component_analysis,177
wiki/Windows_Presentation_Foundation,177
wiki/Design_by_contract,176
wiki/Multitier_architecture,176
wiki/Perfect_hash_function,176
wiki/AVL_tree,175
wiki/ClickOnce,175
wiki/Newton%27s_method,175
wiki/Posix,175
wiki/Year_2038_problem,175
wiki/Cryptographic_nonce,174
wiki/Event_loop,174
wiki/Here_document,174
wiki/Hungarian_algorithm,174
wiki/Exclusive_or,173
wiki/Rule_of_three_(C%2B%2B_programming),173
wiki/YAML,173
wiki/Amdahl%27s_law,172
wiki/ASP.NET,172
wiki/Cyclic_redundancy_check,172
wiki/Favicon,172
wiki/Surrogate_key,172
wiki/Transformation_matrix,172
wiki/Cascading_Style_Sheets,170
wiki/Expect,170
wiki/Responsive_Web_Design,170
wiki/MySQL,169
wiki/Priority_queue,169
wiki/String_searching_algorithm,169
wiki/Third_normal_form,169
wiki/Context-free_grammar,168
wiki/Monkey_patch,168
wiki/HTTP_302,167
wiki/Rsync,167
wiki/Character_encoding,166
wiki/Digest_access_authentication,166
wiki/Stack_overflow,166
wiki/Uniform_Resource_Identifier,166
wiki/X-Forwarded-For,166
wiki/C_dynamic_memory_allocation,165
wiki/Escape_character,165
wiki/C99,164
wiki/Server_Side_Includes,164
wiki/XSLT,164
wiki/List_of_Unicode_characters,163
wiki/Time_complexity,163
wiki/Signed_number_representations,162
wiki/Substitution_failure_is_not_an_error,162
wiki/Closure_(computer_science),161
wiki/Fast_Fourier_transform,161
wiki/Adjacency_list,160
wiki/Backus%E2%80%93Naur_Form,160
wiki/God_object,160
wiki/Optimizing_compiler,160
wiki/Producer%E2%80%93consumer_problem,160
wiki/Windows_PowerShell,160
wiki/Dijkstra,159
wiki/Integrated_development_environment,159
wiki/Rule_of_three_%28C++_programming%29,159
wiki/Setuid,159
wiki/Covariance_and_contravariance_(computer_science),158
wiki/Microsoft_SQL_Server,158
wiki/Database_transaction,157
wiki/De_Morgan,156
wiki/Email_address,156
wiki/Inverted_index,156
wiki/Moving_average,156
wiki/Standard_deviation,156
wiki/Compare-and-swap,155
wiki/Heap_(data_structure),155
wiki/Plain_Old_Java_Object,155
wiki/Run-length_encoding,155
wiki/Captcha,153
wiki/Convention_over_configuration,153
wiki/Cross_product,153
wiki/Matrix_multiplication,153
wiki/Modular_exponentiation,153
wiki/Recursion_%28computer_science%29,153
wiki/SHA-2,153
wiki/URI_scheme,153
wiki/Visual_Basic_.NET,153
wiki/Correlated_subquery,152
wiki/Locality_of_reference,152
wiki/Operating_system,152
wiki/Denormalization,151
wiki/Edit_distance,151
wiki/List_of_JavaScript_libraries,151
wiki/Order_of_operations,151
wiki/Binomial_coefficient,150
wiki/First-class_function,150
wiki/Simulated_annealing,150
wiki/Convex_hull,149
wiki/Lazy_loading,149
wiki/Read%E2%80%93eval%E2%80%93print_loop,149
wiki/Scope_(computer_science),149
wiki/Compiler,148
wiki/Dangling_pointer,148
wiki/Genetic_algorithm,148
wiki/List_of_TCP_and_UDP_port_numbers,148
wiki/Optimistic_concurrency_control,148
wiki/Polymorphism_(computer_science),148
wiki/Reverse_proxy,148
wiki/Component_Object_Model,147
wiki/HATEOAS,147
wiki/HTTP_persistent_connection,147
wiki/Support_vector_machine,147
wiki/Diff,146
wiki/Lazy_evaluation,146
wiki/Longest_common_substring_problem,146
wiki/Objective-C,146
wiki/Octree,146
wiki/Off-by-one_error,146
wiki/Convolution,145
wiki/File_URI_scheme,145
wiki/Nagle%27s_algorithm,145
wiki/Modular_arithmetic,144
wiki/Sender_Policy_Framework,144
wiki/Dynamic_array,143
wiki/Luhn_algorithm,143
wiki/Padding_(cryptography),143
wiki/Anonymous_function,142
wiki/Bit_field,142
wiki/Cluster_analysis,142
wiki/Garbage_collection_(computer_science),142
wiki/IPv4,142
wiki/Shortest_path_problem,142
wiki/Specification_pattern,142
wiki/Global_Interpreter_Lock,141
wiki/HTTP_referer,141
wiki/Markdown,141
wiki/Power_set,141
wiki/Publish%E2%80%93subscribe_pattern,141
wiki/Service-oriented_architecture,141
wiki/Linear_programming,140
wiki/Set_cover_problem,140
wiki/Covariance_and_contravariance_%28computer_science%29,139
wiki/HTTP_301,139
wiki/Memento_pattern,139
wiki/ECMAScript,138
wiki/External_sorting,138
wiki/Hamming_distance,138
wiki/Longest_path_problem,137
wiki/Memory-mapped_file,137
wiki/Multiversion_concurrency_control,137
wiki/Quoted-printable,137
wiki/Time_zone,137
wiki/Virtual_function,137
wiki/Web_service,137
wiki/Bucket_sort,136
wiki/Delaunay_triangulation,136
wiki/OpenMP,136
wiki/Adjacency_matrix,135
wiki/Reservoir_sampling,135
wiki/Kahan_summation_algorithm,134
wiki/NP-Complete,134
wiki/Stemming,134
wiki/HTTP_Secure,133
wiki/Kd-tree,133
wiki/Nohup,133
wiki/X86-64,133
wiki/C_standard_library,132
wiki/Heapsort,132
wiki/Red-black_tree,132
wiki/Robots_exclusion_standard,132
wiki/Sed,132
wiki/Extended_Backus%E2%80%93Naur_form,131
wiki/HTTP_403,131
wiki/Prototype-based_programming,131
wiki/Argument-dependent_name_lookup,130
wiki/Indent_style,130
wiki/Named_pipe,130
wiki/Nearest_neighbor_search,130
wiki/Quickselect,130
wiki/Ramer%E2%80%93Douglas%E2%80%93Peucker_algorithm,130
wiki/Software_design_pattern,130
wiki/Code_injection,129
wiki/Higher-order_function,129
wiki/Memory_management_unit,129
wiki/N-gram,129
wiki/Polymorphism_%28computer_science%29,129
wiki/Remote_procedure_call,129
wiki/Suffix_array,129
wiki/Type_system,129
wiki/Unicode_equivalence,129
wiki/Web_scraping,129
wiki/Anti-pattern,128
wiki/Discrete_Fourier_transform,128
wiki/NP-hard,128
wiki/Spring_Framework,128
wiki/CAP_theorem,127
wiki/Function_object,127
wiki/Glob_(programming),127
wiki/Maximum_subarray_problem,127
wiki/Session_hijacking,127
wiki/Simple_Mail_Transfer_Protocol,127
wiki/YUV,127
wiki/Actor_model,126
wiki/CURL,126
wiki/Data_segment,126
wiki/Duff%27s_device,126
wiki/Process_%28computing%29,126
wiki/3D_projection,125
wiki/Assignment_problem,125
wiki/Connected-component_labeling,125
wiki/Context_switch,125
wiki/Copy_elision,125
wiki/Domain_name_system,125
wiki/Front_Controller_pattern,125
wiki/Greatest_common_divisor,125
wiki/HTTP_Strict_Transport_Security,125
wiki/Position-independent_code,125
wiki/Window_function,125
wiki/Arithmetic_progression,124
wiki/Erase-remove_idiom,124
wiki/Geohash,124
wiki/Machine_epsilon,124
wiki/Miller%E2%80%93Rabin_primality_test,124
wiki/Multiple_dispatch,124
wiki/Busy_waiting,123
wiki/Karnaugh_map,123
wiki/AWK,122
wiki/Closure_(computer_programming),122
wiki/Pythagorean_theorem,122
wiki/Singular_value_decomposition,122
wiki/Windows_Installer,122
wiki/Encapsulation_(object-oriented_programming),121
wiki/Information_hiding,121
wiki/List_of_tools_for_static_code_analysis,121
wiki/Memory_barrier,121
wiki/Minimax,121
wiki/Simple_API_for_XML,121
wiki/WiX,121
wiki/C_data_types,120
wiki/Epoch_(reference_date),120
wiki/Extended_Euclidean_algorithm,120
wiki/Jaccard_index,120
wiki/Julian_day,120
wiki/Self-balancing_binary_search_tree,120
wiki/SIMD,120
wiki/Bookmarklet,119
wiki/C_Sharp_%28programming_language%29,119
wiki/Netpbm_format,119
"wiki/Compilers:_Principles,_Techniques,_and_Tools",118
"wiki/Extract,_transform,_load",118
wiki/Java_class_file,118
wiki/Longest_increasing_subsequence,118
wiki/Mutual_exclusion,118
wiki/Scalable_Vector_Graphics,118
wiki/Thread_safety,118
wiki/Bellman%E2%80%93Ford_algorithm,117
wiki/Brainfuck,117
wiki/Carriage_return,117
wiki/Git_%28software%29,117
wiki/HTTP_referrer,117
wiki/Private_network,117
wiki/Program_transformation,117
wiki/Run-time_type_information,117
wiki/Scrypt,117
wiki/Segment_tree,117
wiki/Taylor_series,117
wiki/Double_precision_floating-point_format,116
wiki/Fisher-Yates_shuffle,116
wiki/Internet_Explorer_box_model_bug,116
wiki/Isolation_%28database_systems%29,116
wiki/Mixin,116
wiki/Reference_counting,116
wiki/Voronoi_diagram,116
wiki/WebKit,116
wiki/%3F:,115
wiki/Continuation,115
wiki/Factory_pattern,115
wiki/Http,115
wiki/Internationalized_domain_name,115
wiki/Null-terminated_string,115
wiki/Stirling%27s_approximation,115
wiki/User_Account_Control,115
wiki/Cycle_detection,114
wiki/Gimbal_lock,114
wiki/IPv6,114
wiki/List_of_ISO_639-1_codes,114
wiki/Service_locator_pattern,114
wiki/Triangular_number,114
wiki/Chomsky_hierarchy,113
wiki/Leap_second,113
wiki/Linear_interpolation,113
wiki/Secure_Shell,113
wiki/Thread_pool_pattern,113
wiki/URL_redirection,113
wiki/You_Ain%27t_Gonna_Need_It,113
wiki/Binomial_Distribution,112
wiki/Constant_folding,112
wiki/Monospaced_font,112
wiki/Natural_language_processing,112
wiki/Office_Open_XML,112
wiki/Scale-invariant_feature_transform,112
wiki/XOR_swap_algorithm,112
wiki/Bridge_pattern,111
wiki/OpenID,111
wiki/SQLite,111
wiki/Windows_Communication_Foundation,111
wiki/CUDA,110
wiki/Global_Assembly_Cache,110
wiki/Java_Database_Connectivity,110
wiki/Kalman_filter,110
wiki/Operators_in_C_and_C++,110
wiki/Rubber_duck_debugging,110
wiki/Taxicab_geometry,110
wiki/Type_safety,110
wiki/Atan2,109
wiki/Initialization_vector,109
wiki/Leap_year,109
wiki/Linear_regression,109
wiki/Object_pool_pattern,109
wiki/Object-relational_impedance_mismatch,109
wiki/Template_metaprogramming,109
wiki/Whitespace_character,109
wiki/Diamond_problem,108
wiki/Null_character,108
wiki/Scope_%28computer_science%29,108
wiki/Xvfb,108
wiki/Alpha_compositing,107
wiki/Caesar_cipher,107
wiki/False_sharing,107
wiki/ICalendar,107
wiki/Is-a,107
wiki/Semaphore_(programming),107
wiki/Tagged_union,107
wiki/Xcode,107
wiki/File_descriptor,106
wiki/JavaBeans,106
wiki/Rewrite_engine,106
wiki/Well-known_text,106
wiki/Conway%27s_Game_of_Life,105
wiki/Cross-correlation,105
wiki/Damerau%E2%80%93Levenshtein_distance,105
wiki/Java_Persistence_API,105
wiki/Java_Servlet,105
wiki/Localhost,105
wiki/Rich_Text_Format,105
wiki/XML_namespace,105
wiki/Build_automation,104
wiki/Common_Language_Runtime,104
wiki/Markov_chain,104
wiki/Message_Passing_Interface,104
wiki/Midpoint_circle_algorithm,104
wiki/Port_forwarding,104
wiki/Working_directory,104
wiki/Closure_%28computer_programming%29,103
wiki/Collatz_conjecture,103
wiki/Logarithm,103
wiki/OSGi,103
wiki/Primality_test,103
wiki/Turing_completeness,103
wiki/Byte-order_mark,102
wiki/Diffie%E2%80%93Hellman_key_exchange,102
wiki/Sobel_operator,102
wiki/Spherical_coordinate_system,102
wiki/Streaming_SIMD_Extensions,102
wiki/Wall-clock_time,102
wiki/Yoda_conditions,102
wiki/Binary_search,101
wiki/C%2B%2B/CLI,101
wiki/Convex_hull_algorithms,101
wiki/Loose_coupling,101
wiki/Naive_Bayes_classifier,101
wiki/Naming_convention_(programming),101
wiki/Node.js,101
wiki/Path_(variable),101
wiki/Prototype_pattern,101
wiki/Time_Stamp_Counter,101
wiki/Uuid,101
wiki/ASP.NET_MVC_Framework,100
wiki/Centroid,100
wiki/Code_refactoring,100
wiki/DOM_Events,100
wiki/Euler_angles,100
wiki/Histogram,100
wiki/Java_Message_Service,100
wiki/Message_queue,100
wiki/Optical_character_recognition,100
wiki/Process_(computing),100
wiki/Relational_database,100
wiki/X86,100
wiki/EBCDIC,99
wiki/Encapsulation_(computer_programming),99
wiki/Function_overloading,99
wiki/Futures_and_promises,99
wiki/Glob_%28programming%29,99
wiki/Inverse_transform_sampling,99
wiki/ISO_3166-1_alpha-2,99
wiki/Message_authentication_code,99
wiki/NumPy,99
wiki/Unix_signal,99
wiki/Chmod,98
wiki/Color_difference,98
wiki/Deterministic_finite_automaton,98
wiki/Event-driven_programming,98
wiki/Exit_status,98
wiki/Fixed-point_arithmetic,98
wiki/Fold_(higher-order_function),98
wiki/Hosts_%28file%29,98
wiki/Integer_programming,98
wiki/Java_bytecode_instruction_listings,98
wiki/Methods_of_computing_square_roots,98
wiki/Model,98
wiki/Plain_Old_CLR_Object,98
wiki/POST_%28HTTP%29,98
wiki/Session_fixation,98
wiki/Class_diagram,97
wiki/MAC_address,97
wiki/ROT13,97
wiki/UDP_hole_punching,97
wiki/Unified_Modeling_Language,97
wiki/X_Macro,97
wiki/Digital_signature,96
wiki/Embarrassingly_parallel,96
wiki/Filename,96
wiki/Inheritance_(object-oriented_programming),96
wiki/Inode,96
wiki/Integration_testing,96
wiki/Isolation_(database_systems),96
wiki/Proxy_server,96
wiki/Stack_(abstract_data_type),96
wiki/Binary_space_partitioning,95
wiki/Binary-coded_decimal,95
wiki/Flexible_array_member,95
wiki/Hosts_(file),95
wiki/Model%E2%80%93view%E2%80%93presenter,95
wiki/Modular_multiplicative_inverse,95
wiki/Reflection_%28computer_programming%29,95
wiki/Sentinel_value,95
wiki/Single_sign-on,95
wiki/Wavefront_.obj_file,95
wiki/WebSockets,95
wiki/Fast_inverse_square_root,94
wiki/Flash_of_unstyled_content,94
wiki/Lazy_initialization,94
wiki/List_of_file_signatures,94
wiki/Object_copy,94
wiki/Paging,94
wiki/Analysis_of_algorithms,93
wiki/Berkeley_sockets,93
wiki/Catalan_number,93
wiki/Cryptographically_secure_pseudorandom_number_generator,93
wiki/HTTP_404,93
wiki/HTTP_compression,93
wiki/Lab_color_space,93
wiki/OpenCL,93
wiki/Semaphore_%28programming%29,93
wiki/Affine_transformation,92
wiki/Apache_Subversion,92
wiki/Classless_Inter-Domain_Routing,92
wiki/Coroutine,92
wiki/Database_index,92
wiki/Least_squares,92
wiki/Path_(computing),92
wiki/Precision_and_recall,92
wiki/RSA,92
wiki/WebDAV,92
wiki/ZIP_(file_format),92
wiki/Abstract_Syntax_Notation_One,91
wiki/Connection_pool,91
wiki/Greedy_algorithm,91
wiki/HTML5,91
wiki/Integer_factorization,91
wiki/Internet_Information_Services,91
wiki/Mercator_projection,91
wiki/Parsing_expression_grammar,91
wiki/Principle_of_least_privilege,91
wiki/String_literal,91
wiki/Thread-local_storage,91
wiki/Type_conversion,91
wiki/ADO.NET_Entity_Framework,90
wiki/Homogeneous_coordinates,90
wiki/Metaprogramming,90
wiki/Partial_application,90
wiki/Tail_recursion,90
wiki/Apache_Maven,89
wiki/Fail-fast,89
wiki/HTML5_video,89
wiki/Netcat,89
wiki/Platform_Invocation_Services,89
wiki/Role-based_access_control,89
wiki/Sieve_of_Atkin,89
wiki/Sizeof,89
wiki/Windows_API,89
wiki/You_aren%27t_gonna_need_it,89
wiki/ZIP_%28file_format%29,89
wiki/Control_character,88
wiki/Filesystem_Hierarchy_Standard,88
wiki/Millisecond,88
wiki/POST_(HTTP),88
wiki/SQL_Server_Compact,88
wiki/Address_space,87
wiki/Branch_predictor,87
wiki/File_locking,87
wiki/Fixed-point_combinator,87
wiki/Green_threads,87
wiki/Grep,87
wiki/Iterative_deepening_depth-first_search,87
wiki/Many-to-many_%28data_model%29,87
wiki/Multiset,87
wiki/RAII,87
wiki/Single_precision_floating-point_format,87
wiki/The_C_Programming_Language,87
wiki/Variadic_template,87
wiki/ARM_architecture,86
wiki/Boolean_satisfiability_problem,86
wiki/Cargo_cult_programming,86
wiki/Character_encodings_in_HTML,86
wiki/Code_coverage,86
wiki/IP_address,86
wiki/ISO_3166-1,86
wiki/Linux_kernel,86
wiki/LL_parser,86
wiki/Null_(SQL),86
