,0
508,bitpad
509,bit rate
510,bits per pixel
511,bit string
512,bit stuffing
513,blackberry
514,blackboard system
515,black box
516,black-box testing
517,black ethernet
518,blank character
519,blank
520,blend
521,blending
522,blink
523,blobby model
524,block
525,block cipher
526,block code
527,block compaction
528,block diagram
529,blocked process
530,blockette
531,blocking factor
532,block length
533,block retrieval
534,blog
535,blogosphere
536,blue book
537,bluetooth
538,blum’s axioms
539,blu-ray
540,bm algorithm
541,block-structured languages
542,bmp
543,bnf
544,body
545,boilerplate
546,bom
547,bookmark
548,"boole, george"
549,boolean algebra
550,boolean expression
551,boolean function
552,boolean matrix
553,boolean operation
554,boolean operator
555,boolean type
556,boolean value
557,boom
558,boot
559,boot sector virus
560,bootstrap
561,border gateway protocol
562,borland software corporation
563,bose–chaudhuri–hocquenghem codes
564,bot
565,bot marker
566,botnet
567,bottleneck
568,bottoming
569,bottom-up development
570,bottom-up parsing
571,bounce
572,bound
573,boundary protection
574,boundary representation
575,boundary-scan testing
576,boundary-value problem
577,bounded delay
578,bound occurrence
579,bounds registers
580,bound variable
581,box–jenkins forecasting techniques
582,boxplot
583,boyer–moore algorithm
584,bpi
585,bps
586,bpt
587,branch
588,branch and bound algorithm
589,branching factor
590,branch instruction
591,branch testing
592,breadboard
593,breadth-first search
594,breakpoint
595,bresenham’s algorithm
596,bri
597,bricks-and-clicks
598,bridge
599,bridgeware
600,"brin, sergey"
601,broadband
602,broadband coaxial systems
603,broadband isdn
604,broadband networking
605,broadcast domain
606,broadcasting
607,brouter
608,browse
609,browser
610,brute force
611,brute force attack
612,bs7799
613,bsc
614,bsi group
615,b-spline
616,b-spline patch
617,bsp tree
618,b+ tree
619,b-tree
620,btron
621,bubble jet
622,bubble memory
623,bubble sort
624,bucket
625,bucket sort
626,buddy system
627,buffer
628,buffering
629,buffer overflow
630,buffer register
631,bug
632,bug seeding
633,bulk memory
634,bulletin board system
635,bump mapping
636,bundle
637,bundled attributes
638,burn
639,burst error
640,burst mode
641,bus
642,bus arbitration
643,bus driver
644,bused interface
645,bus hierarchy
646,business graphics
647,byzantine generals problem
648,bus master
649,bus terminator
650,bus topology
651,busy signal
652,button
653,byte
654,byte code
655,byte-order mark
656,c
657,c++
658,c#
659,c2
660,ca
661,cable
662,cache
663,cad
664,cadcam
665,cadmat
666,cae
667,cafs
668,cai
669,cais–a
670,cal
671,call
672,call by name
673,call by reference
674,call by value
675,calling sequence
676,call instruction
677,cam
678,camac
679,cambridge ring
680,cancellation
681,c&c
682,campus-wide information service
683,capability architecture
684,capability list
685,capability maturity model
686,capacity
687,capm
688,capp
689,caps lock
690,capstan
691,captcha
692,cap theorem
693,car
694,card
695,card cage
696,cardinality
697,card punch
698,card reader
699,caret
700,carriage return
701,carrier
702,carry lookahead
703,cartesian product
704,cartesian structure
705,cartridge
706,cartridge drive
707,cartridge font
708,cartridge tape
709,cascadable counter
710,cascade
711,cascaded windows
712,cascading style sheets
713,case
714,case-based reasoning
715,case grammar
716,case-sensitive
717,case statement
718,cassette
719,cat
720,cat-3
721,cat-5
722,cat-6
723,cat-7
724,catastrophic code
725,catastrophic error propagation
726,category
727,cathode-ray tube
728,catmull–clark surfaces
729,causal reasoning
730,caustic
731,cayley table
732,cav
733,cbc
734,cbl
735,cbr
736,cbt
737,ccd
738,ccitt
739,ccs
740,ccta
741,cdc
742,cd-da
743,cddi
744,cd-e
745,cd-i
746,cdif
747,cdos
748,cdr
749,cd-r
750,cd-rom
751,cd-rom drive
752,cd-rom format standards
753,cd-rom library
754,cd-rw
755,cdtv
756,ceiling
757,cel
758,celeron
759,cell
760,cell array
761,cell relay
762,cellular automata machine
763,cen/cenelec
764,centralized structure store
765,central processor
766,centronics interface
767,cepis
768,cert
769,certainty factor
770,certificate
771,certificate authority
772,certification
773,cfb
774,cff
775,cga
776,cgi
777,cgm
778,chain
779,chain code
780,chained file
781,chained list
782,chaining
783,chaining search
784,chain printer
785,challenge/response
786,change dump
787,channel
788,channel capacity
789,channel coding
790,channel coding theorem
791,channel controller
792,channel error
793,channel mobility
794,channel switching
795,channel time response
796,chaos
797,character
798,character cell
799,character encoding
800,characteristic
801,characteristic function
802,characteristic vector
803,character machine
804,character mode
805,character recognition
806,character representation
807,character set
808,character string
809,character type
810,charge-coupled device
811,chassis
812,chat room
813,chdl
814,cheapernet
815,"chebyshev approximation, norm"
816,check
817,check box
818,check character
819,check digit
820,checkers-playing programs
821,checking program
822,chemoinformatics
823,chess-playing programs
824,chief programmer team
825,chinese remainder theorem
826,checkout
827,checkpoint
828,checksum
829,child
830,chill
831,chip
832,chip card
833,chip set
834,chip socket
835,chi-squared distribution
836,choice
837,cholesky decomposition
838,chomsky hierarchy
839,chomsky normal form
840,chromaticity
841,chromaticity coefficient
842,chromaticity diagram
843,chromatic number
844,chrome
845,chrome os
846,chunk
847,church–rosser
848,church–rosser theorem
849,church’s thesis
850,church–turing thesis
851,cics
852,cie
853,cie colour model
854,cielab
855,cim
856,cineon format
857,cipher
858,ciphertext
859,cir
860,circuit
861,circuit board
862,circuit card
863,circuit switching
864,circular list
865,circular shift
866,circulating register
867,cisc
868,cix
869,ckd
870,clamp
871,class
872,clear
873,clear
874,cli
875,click
876,classifier systems
877,classless inter-domain routing
878,click and drag
879,click rate
880,clicks and mortar
881,click speed
882,clickstream
883,click-through rate
884,client
885,client/server
886,client-side
887,clip art
888,clipboard
889,clipping
890,clns
891,clock
892,clock cycle
893,clocked flip-flop
894,clocking
895,clock rate
896,clock signal
897,clock skew
898,clone
899,closed-world assumption
900,clos
901,close
902,closed
903,closed loop
904,closed semiring
905,closed shop
906,closed subroutine
907,closed term
908,closure
909,closure properties
910,cloud computing
911,cluster analysis
912,clustering
913,clp
914,cluster
915,clv
916,cm
917,cmi
918,cmm
919,cmmi
920,cmos
921,cms
922,cnc
923,cnf
924,cmy colour model
925,cmyk colour model
926,cnf satisfiability
927,coad–yourdon method
928,coax
929,cobol
930,coaxial cable
931,cocktail shaker sort
932,cocom
933,cocomo
934,codasyl
935,"codd, ted"
936,code
937,codec
938,coded character set
939,code injection
940,codasyl network model
941,code inspection
942,code length
943,code mobility
944,code of conduct
945,code point
946,coder-decoder
947,codeword
948,coding
949,coding bounds
950,coding standards
951,coding theorems
952,coding theory
953,codomain
954,cognitive modelling
955,cognitive science
956,cohesion
957,cold boot
958,collaborative software
959,collating sequence
960,collision detection
961,collision domain
962,collocation methods
963,colossus
964,colour display
965,coloured book
966,colour gamut
967,colourimetry
968,colour model
969,colour printer
970,colour space
971,colouring of graphs
972,column-major order
973,column-ragged
974,column vector
975,com
976,combination
977,combinational circuit
978,combinational logic
979,combinator
980,combinatorial circuit
981,combinatorial explosion
982,combinatorics
983,combinatory logic
984,combo box
985,comega
986,command
987,command and control
988,command control language
989,command control program
990,command file
991,command language
992,command-line interface
993,comment
994,commit
995,common area
996,common carrier
997,common criteria
998,common gateway interface
999,common instance
1000,common lisp
1001,common-sense reasoning
1002,common user access
1003,common application environment
1004,comms
1005,communicating sequential processes
1006,communication channel
1007,communication interface
1008,communication network
1009,communication port
1010,communication processor
1011,communication server
1012,communication subnetwork
1013,communication system
1014,communication theory
1015,commutative diagram
1016,commutative group
1017,commutative law
1018,commutative operation
1019,commutative ring
1020,commutative semiring
1021,compaction
1022,compaq computer corporation
1023,comparator
1024,comparison counting sort
1025,compartmentalization
1026,compatibility
1027,compilation time
1028,compiler
1029,compiler-compiler
1030,compiler validation
1031,complement
1032,complementary logic
1033,complemented lattice
1034,complement number system
1035,complete graph
1036,complete lattice
1037,completeness
1038,completeness theorem
1039,complete term rewriting system
1040,complex instruction set computer
1041,complete tree
1042,complex algebra
1043,complexity
1044,complexity classes
1045,complexity function
1046,complexity measure
1047,complex number
1048,complex operation
1049,com port
1050,composition
1051,composition table
1052,compound document
1053,compression
1054,compression factor
1055,compuserve
1056,computability
1057,computable
1058,computable algebra
1059,computable function
1060,computable real number
1061,computable set
1062,"computation, model of"
1063,computational creativity
1064,computational environment
1065,computational geometry
1066,computational psychology
1067,computer
1068,computer-aided design
1069,computer-aided engineering
1070,computer-aided instruction
1071,computer-aided manufacturing
1072,computer-aided process planning
1073,computer-aided production management
1074,computer-assisted software engineering
1075,computer-aided testing
1076,computer animation
1077,computer architecture
1078,computer-assisted learning
1079,computer-based learning
1080,computer-based training
1081,computer chess
1082,computer family
1083,computer fraud
1084,computer games
1085,computer graphics
1086,computer graphics
1087,computer emergency response team
1088,computer hardware description language
1089,computer-integrated manufacturing
1090,computer logic
1091,computer-managed instruction
1092,computer misuse act 1990
1093,computer numerical control
1094,computer object model
1095,computer power
1096,computer science
1097,computer services association
1098,computer-supported cooperative working
1099,concatenated coding systems
1100,computer word
1101,compute server
1102,con
1103,concatenated code
1104,concatenation
1105,concatenation closure
1106,concept learning
1107,conceptual graphs
1108,conceptual schema
1109,concurrency
1110,concurrent assignment
1111,concurrent dos
1112,concurrent programming
1113,condensation
1114,conditional
1115,conditional equation
1116,conditional jump
1117,condition-code register
1118,condition number
1119,cone of influence
1120,conferencing
1121,confidence interval
1122,confidentiality
1123,configuration
1124,configuration management
1125,"configured-in, -off, -out"
1126,confluent
1127,conformance testing
1128,conform to
1129,congruence relation
1130,conjunction
1131,conjunctive normal form
1132,conlan
1133,connected graph
1134,connectedness
1135,connectionism
1136,connectionless-mode network service
1137,connection machine
1138,connection-oriented network service
1139,connective
1140,connectivity
1141,connectivity matrix
1142,cons
1143,consensus
1144,consistency
1145,console
1146,constant
1147,constant bit rate
1148,constant delay
1149,constraint
1150,constraint-based solid modelling
1151,constraint logic programming
1152,constraint network
1153,constraint satisfaction
1154,construct
1155,constructive function
1156,constructive solid geometry
1157,constructive specification
1158,consumable resource
1159,contact bounce
1160,contact forces
1161,content-addressable memory
1162,content-addressable parallel processor
1163,contention
1164,context awareness
1165,context-free grammar
1166,context-free language
1167,context-sensitive grammar
1168,context-sensitive language
1169,context switch
1170,contingency table
1171,continuation
1172,continuous function
1173,continuous inkjet printer
1174,"continuous signal, system"
1175,continuous simulation
1176,continuous stationery
1177,continuous-tone image
1178,control data corporation
1179,contradiction
1180,contrapositive
1181,control bus
1182,control character
1183,control circuitry
1184,control design
1185,control flow
1186,control-flow graph
1187,control key
1188,controlled sharing
1189,controller
1190,control line
1191,control memory
1192,control points
1193,control record
1194,control sequence
1195,control stack
1196,control structure
1197,control total
1198,control unit
1199,control word
1200,convergence
1201,converse
1202,convex hull
1203,convolution
1204,conversational mode
1205,convolutional code
1206,cookie
1207,cook–torrance model
1208,coons patch
1209,copy
1210,copyright
1211,copy synthesis
1212,coral
1213,corba
1214,core
1215,core store
1216,coroutine
1217,corrective maintenance
1218,correctness proof
1219,correlation
1220,correlation coefficient
1221,correspondence analysis
1222,corrupt
1223,coset
1224,coset relation
1225,cost estimation model
1226,cost function
1227,cots
1228,countable set
1229,counter
1230,counting problem
1231,coupled
1232,coupling
1233,covariance
1234,covering
1235,cpu cycle time
1236,covert channel
1237,cpl
1238,cpm
1239,cp/m
1240,cps
1241,cpu
1242,cpu time
1243,cr
1244,cracking
1245,crash
1246,crawler
1247,cray inc.
1248,crc
1249,crisis time
1250,criticality analysis
1251,critical path method
1252,critical region
1253,critical resource
1254,critical section
1255,craig’s interpolation theorem
1256,crm system
1257,cropping
1258,cross assembler
1259,crossbar switch
1260,cross compiler
1261,cross-coupling
1262,cross-site scripting
1263,crosstalk
1264,cross-validation
1265,crowbar circuit
1266,crt
1267,cryogenic memory
1268,cryptanalysis
1269,cryptogram
1270,cryptography
1271,cryptology
1272,c/s
1273,cscw
1274,csg
1275,c-sharp
1276,csirt
1277,csma/cd
1278,csound
1279,csp
1280,css
1281,csv
1282,ctron
1283,cu
1284,cua
1285,cube
1286,cubic spline
1287,cull
1288,cumulative distribution function
1289,current address register
1290,current instruction register
1291,current limit
1292,curried function
1293,cursor
1294,curvature
1295,curve compression
1296,custom software
1297,customer relationship management system
1298,cut
1299,cut and paste
1300,cutout
1301,cut-point
1302,cut set
1303,cut-sheet feed
1304,cut vertex
1305,cvs
1306,cwis
1307,cybercafé
1308,cybercash
1309,cybercrime
1310,cybernetics
1311,cyberspace
1312,cyber warfare
1313,cycle
1314,cycle stealing
1315,cycle time
1316,cyclic access
1317,cyclic code
1318,cycle index polynomial
1319,cyclic redundancy check
1320,cyrus–beck clipping algorithm
1321,cyc project
1322,cypher
1323,dac
1324,d/a converter
1325,daemon
1326,dai
1327,daisychain
1328,daisywheel printer
1329,dangling else
1330,dangling reference
1331,dante
1332,dark fibre
1333,darpa
1334,dasd
1335,dat
1336,data
1337,data abstraction
1338,data acquisition
1339,databank
1340,database
1341,database administration
1342,database administrator
1343,database integrity
1344,database language
1345,database management system
1346,database programming language
1347,database recovery
1348,database system
1349,data break
1350,data bus
1351,data capture
1352,data cartridge
1353,data chaining
1354,data channel
1355,data cleaning
1356,data collection
1357,datacomms
1358,data communication equipment
1359,data communications
1360,data compaction
1361,data compression
1362,data contamination
1363,data controller
1364,data dependency
1365,data description
1366,data dictionary
1367,data directory
1368,data-driven design
1369,data-driven processing
1370,data encryption algorithm
1371,data encryption standard
1372,data entry
1373,data field
1374,data file
1375,dataflow
1376,dataflow diagram
1377,dataflow machine
1378,data fusion
1379,dataglove
1380,datagram
1381,data hierarchy
1382,data independence
1383,data integrity
1384,data item
1385,data link
1386,data link layer
1387,data logging
1388,data management
1389,data link control protocol
1390,data management system
1391,data manipulation
1392,data mark
1393,data matrix
1394,data medium
1395,data mining
1396,data model
1397,data name
1398,data network
1399,data path
1400,data preparation
1401,data processing
1402,data processor
1403,data protection acts
1404,data protection legislation
1405,data security system
1406,data selector/multiplexer
1407,data rate
1408,data recipient
1409,data reduction
1410,data retrieval
1411,data set
1412,data sheet
1413,data store
1414,data stream
1415,data structure
1416,data subject
1417,data sublanguage
1418,data summarization
1419,data tablet
1420,data terminal equipment
1421,data transfer rate
1422,data transfer time
1423,data translation
1424,data transmission
1425,data transparency
1426,data type
1427,data validation
1428,data vetting
1429,data warehouse
1430,data word
1431,d.c. signalling
1432,db2
1433,dba
1434,dbms
1435,dc
1436,dce
1437,dct
1438,dcvs
1439,ddc
1440,ddcmp
1441,dde
1442,ddl
1443,ddos
1444,ddp
1445,dds
1446,dea
1447,deadlock
1448,deadly embrace
1449,debit/credit benchmark
1450,debouncing
1451,de bruijn diagram
1452,debugging
1453,debug tool
1454,dec
1455,decal
1456,decade counter
1457,de casteljau algorithm
1458,decidable problem
1459,decidable set
1460,decision gate
1461,decision problem
1462,decision procedure
1463,decision support system
1464,decision surface
1465,decision table
1466,decision tree
1467,declaration
1468,declarative languages
1469,decnet
1470,decoder
1471,decoder/demultiplexer
1472,decoder/driver
1473,decoder error
1474,decoding
1475,decollator
1476,decompiler
1477,decomposition
1478,decompression
1479,deconvolution
1480,decryption
1481,dedicated
1482,dedicated mode
1483,deduction
1484,deductive apparatus
1485,deep blue
1486,deep case
1487,deferred addressing
1488,deferred approach to the limit
1489,deep structure
1490,deep thought
1491,default
1492,default rules
1493,defect skipping
1494,deferral
1495,definition
1496,deflation
1497,defrag
1498,defragmentation
1499,degree
1500,degree of precision
1501,degrees of freedom
1502,dekker’s algorithm
1503,delaunay triangulation
1504,delay differential equations
1505,delayed branch
1506,delay line
1507,delay-power product
1508,delete
1509,delimiter
1510,dell
1511,delta pcm
1512,demand paging
1513,"demand reading, writing"
1514,demilitarized zone
1515,demodulator
1516,demon
1517,de morgan’s laws
1518,demultiplexer
1519,dendrogram
1520,denial
1521,denial of service
1522,denotational semantics
1523,denumerable set
1524,density
1525,deposit
1526,depth
1527,depth-balanced
1528,depth buffer
1529,depth cueing
1530,depth-first search
1531,deque
1532,derivation sequence
1533,derivation tree
1534,derivative
1535,des
1536,descendant
1537,descriptor
1538,design database
1539,design pattern
1540,design review
1541,desktop
1542,desktop publishing
1543,destructive read
1544,determinant
1545,deterministic
1546,deterministic language
1547,deterministic turing machine
1548,deuce
1549,developer
1550,development life cycle
1551,device
1552,device coordinates
1553,device driver
1554,dfd
1555,d flip-flop
1556,dft
1557,dhcp
1558,dhrystone benchmark
1559,dhtml
1560,diagnostic routine
1561,diagonalization
1562,diagonal matrix
1563,diagrammatic technique
1564,dialogue management
1565,dialler
1566,dialogue box
1567,dictionary
1568,diff
1569,difference engine
1570,difference equations
1571,differential backup
1572,differential dump
1573,differential equations
1574,differential pcm
1575,diffuse reflection
1576,diffusion address
1577,digital
1578,digital audio tape
1579,digital camera
1580,digital cassette
1581,digital certificate
1582,digital circuit
1583,digital computer
1584,digital copier
1585,digital data storage
1586,digital data transmission
1587,digital design
1588,digital design language
1589,digital equipment corporation
1590,digital filtering
1591,digital halftone
1592,digital image
1593,digital logic
1594,digital signal
1595,digital signature
1596,digital sorting
1597,digital system
1598,digital signal processing
1599,digital-to-analogue converter
1600,digital versatile disk
1601,digital video
1602,digital video disk
1603,digital video interactive
1604,digital video interface
1605,"dijkstra, edsger"
1606,dijkstra’s algorithm
1607,digitization
1608,digitizer
1609,digraph
1610,dil
1611,dil switch
1612,dimension
1613,diminished radix complement
1614,diminishing increment sort
1615,dimm
1616,din connector
1617,dingbat
1618,diode
1619,dip
1620,diode-transistor logic
1621,direct-access storage device
1622,direct addressing
1623,direct-coupled machines
1624,direct data entry
1625,direct digital control
1626,directed graph
1627,directed set
1628,directed tree
1629,direction keys
1630,directive
1631,direct memory access
1632,directory
1633,directory services
1634,directory tree
1635,direct product
1636,directx
1637,dirichlet region
1638,disable
1639,disarm
1640,disassembler
1641,disc
1642,disconnected graph
1643,discourse understanding
1644,discrete and continuous systems
1645,discrete channel
1646,discrete component
1647,discrete cosine transform
1648,discrete event simulation
1649,discrete fourier transform
1650,discrete mathematics
1651,discrete process control
1652,discrete signal
1653,discrete source
1654,discrete structure
1655,discrete system
1656,discretionary access control
1657,discretization
1658,discretization error
1659,discriminant analysis
1660,disjunctive normal form
1661,disjoint
1662,disjunction
1663,disk
1664,disk array
1665,disk cache
1666,disk cartridge
1667,disk drive
1668,diskette
1669,disk format
1670,disk pack
1671,disk stack
1672,disk striping
1673,disk-to-plate
1674,disk unit
1675,dispatcher
1676,dispersion
1677,displacement mapping
1678,display
1679,display port
1680,display processor
1681,distiller
1682,distributed array processor
1683,distributed artificial intelligence
1684,distributed computing environment
1685,distributed concurrent versions system
1686,distributed database
1687,distributed denial of service
1688,distributed file system
1689,distributed problem solving
1690,distributed processing
1691,distributed queue dual bus
1692,distributed system
1693,distribution
1694,distribution counting sort
1695,distributive lattice
1696,distributive laws
1697,dithered colour
1698,dithering
1699,dither noise
1700,diverse programming
1701,divide and conquer sorting
1702,divided difference
1703,divider
1704,dll
1705,dma
1706,dme
1707,dml
1708,dmz
1709,dns
1710,dns server
1711,docking station
1712,document
1713,documentation
1714,document image processing
1715,document object model
1716,document processing
1717,document reader
1718,document scanner
1719,document sorter
1720,document type definition
1721,do loop
1722,dol system
1723,dom
1724,domain
1725,domain knowledge
1726,domain modelling
1727,domain name server
1728,domain name system
1729,domain theory
1730,dominator
1731,dongle
1732,do-nothing instruction
1733,don’t care
1734,dope vector
1735,dos
1736,dos box
1737,dot com
1738,dot diffusion
1739,dot matrix printer
1740,double buffering
1741,double click
1742,double complement
1743,double-density recording
1744,double-length arithmetic
1745,double negation
1746,double precision
1747,doubly linked list
1748,do-while loop
1749,down
1750,downline
1751,download
1752,down operation
1753,downsizing
1754,downtime
1755,dp
1756,dpi
1757,dpcm
1758,dqdb
1759,drag
1760,drag and drop
1761,dram
1762,draughts-playing programs
1763,drop-down menu
1764,drop-on-demand inkjet printer
1765,draw
1766,drcs
1767,drdw
1768,drive
1769,driver
1770,drop-in
1771,drop-out
1772,drum plotter
1773,drum printer
1774,drum scanner
1775,dry run
1776,dsl
1777,dsm
1778,dsp
1779,dspace
1780,dss
1781,dtd
1782,dte
1783,dtime
1784,dtl
1785,dtp
1786,dual
1787,d-type flip-flop
1788,dual attach
1789,dual core
1790,dual in-line package
1791,duality
1792,dual port memory
1793,dual processor
1794,dummy instruction
1795,dump
1796,dump check
1797,dump point
1798,duplex
1799,duty cycle
1800,dvd
1801,dvi
1802,dynamic host configuration protocol
1803,dyadic
1804,dyadic operation
1805,dyck language
1806,dye-polymer media
1807,dynamic
